kfold-test,kfold-validation,model,0,1,2,3,4,5,is_test,evaluation,evaluate_method
0,,"SVMRandomMatrix{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.4792626728110599,0.40026333113890716,0.4325213956550362,0.4720210664911126,0.5042791310072416,0.5615536537195523,True,train,Accuracy
0,,"SVMRandomMatrix{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.3973684210526316,0.12894736842105264,0.1736842105263158,0.2657894736842105,0.33157894736842103,0.4842105263157895,True,test,Accuracy
1,,"SVMRandomMatrix{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.4739960500329164,0.3923633969716919,0.41803818301514156,0.46675444371296904,0.5029624753127058,0.5687952600394997,True,train,Accuracy
1,,"SVMRandomMatrix{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.3526315789473684,0.15263157894736842,0.1763157894736842,0.24210526315789474,0.3605263157894737,0.4921052631578947,True,test,Accuracy
2,,"SVMRandomMatrix{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.4726793943383805,0.38446346280447663,0.41803818301514156,0.4641211323238973,0.4878209348255431,0.5576036866359447,True,train,Accuracy
2,,"SVMRandomMatrix{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.38421052631578945,0.16052631578947368,0.18421052631578946,0.2578947368421053,0.32894736842105265,0.4842105263157895,True,test,Accuracy
3,,"SVMRandomMatrix{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.4825543120473996,0.3726135615536537,0.4358130348913759,0.4410796576695194,0.5023041474654378,0.5661619486504279,True,train,Accuracy
3,,"SVMRandomMatrix{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.3868421052631579,0.16842105263157894,0.1763157894736842,0.2631578947368421,0.3263157894736842,0.4631578947368421,True,test,Accuracy
4,,"SVMRandomMatrix{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.48486842105263156,0.38355263157894737,0.42105263157894735,0.4677631578947368,0.4953947368421053,0.5493421052631579,True,train,Accuracy
4,,"SVMRandomMatrix{'C': 10000.0, 'gamma': 1e-05, 'kernel': 'rbf'}",0.37994722955145116,0.158311345646438,0.19788918205804748,0.3087071240105541,0.37730870712401055,0.5224274406332454,True,test,Accuracy
